"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","상권_변화_지표","상권_변화_지표_명","운영_영업_개월_평균","폐업_영업_개월_평균","서울_운영_영업_개월_평균","서울_폐업_영업_개월_평균"
"2021","3","R","전통시장","1001377","영천시장","HH","정체","131","63","117","55"
"2021","3","R","전통시장","1001376","수일시장","HH","정체","182","74","117","55"
"2021","3","R","전통시장","1001375","증산종합시장","HH","정체","125","58","117","55"
"2021","3","R","전통시장","1001374","대림골목시장","LH","상권확장","112","59","117","55"
"2021","3","R","전통시장","1001373","신응암시장","HH","정체","128","68","117","55"
"2021","3","R","전통시장","1001372","녹번시장","LH","상권확장","101","70","117","55"
"2021","3","R","전통시장","1001371","대조시장","LH","상권확장","99","64","117","55"
"2021","3","R","전통시장","1001370","역촌중앙시장","HL","상권축소","164","49","117","55"
"2021","3","R","전통시장","1001369","갈현시장","LH","상권확장","62","64","117","55"
"2021","3","R","전통시장","1001368","연서시장","HH","정체","129","59","117","55"
"2021","3","R","전통시장","1001367","상계중앙시장","LL","다이나믹","105","46","117","55"
"2021","3","R","전통시장","1001366","상계시장","LH","상권확장","113","107","117","55"
"2021","3","R","전통시장","1001365","공릉동도깨비시장","HH","정체","128","57","117","55"
"2021","3","R","전통시장","1001364","방학동도깨비시장","LL","다이나믹","114","51","117","55"
"2021","3","R","전통시장","1001363","쌍문역골목시장","HH","정체","122","56","117","55"
"2021","3","R","전통시장","1001362","백운시장","LL","다이나믹","98","52","117","55"
"2021","3","R","전통시장","1001361","신도봉시장","LL","다이나믹","97","47","117","55"
"2021","3","R","전통시장","1001360","창동골목시장","HL","상권축소","122","51","117","55"
"2021","3","R","전통시장","1001359","창동신창시장","HL","상권축소","129","54","117","55"
"2021","3","R","전통시장","1001358","수유북부시장","HL","상권축소","153","51","117","55"
"2021","3","R","전통시장","1001357","장미원골목시장","LH","상권확장","115","61","117","55"
"2021","3","R","전통시장","1001356","수유중앙시장","HH","정체","117","64","117","55"
"2021","3","R","전통시장","1001355","강북종합시장","HH","정체","136","68","117","55"
"2021","3","R","전통시장","1001354","우이시장","LH","상권확장","99","55","117","55"
"2021","3","R","전통시장","1001353","수유전통시장","HH","정체","140","66","117","55"
"2021","3","R","전통시장","1001352","번동북부골목시장","LL","다이나믹","115","53","117","55"
"2021","3","R","전통시장","1001351","솔샘시장","LH","상권확장","112","61","117","55"
"2021","3","R","전통시장","1001350","숭인시장","HH","정체","136","69","117","55"
