상권_코드,coef
1000142,-577893862.2527472
1000143,-81156980.08241758
1000144,-183031269.16483518
1000145,-88604915.55494505
1000146,10786071.060439559
1000147,-79055823.61538461
1000148,-243907407.27472526
1000149,23780721.659340654
1000150,-154989869.63736263
1000151,-71802642.42857145
1000152,-150610876.98351648
1000153,-66660994.58241758
1000154,-345891546.68681324
1000155,-100755518.23076923
1000156,-215516771.6263736
1000157,-99747280.3681319
1000158,-74886027.43956046
1000159,-377521346.1153846
1000160,-165381525.1868132
1000161,-419226238.2802198
1000162,-29127856.38461539
1000163,19323757.197802193
1000164,-67851999.05494507
1000165,-99023928.26923077
1000166,-86155111.69780223
1000167,-128777439.05494504
1000168,8353958.252747256
1000169,-280141779.0769231
1000170,-133336547.84615387
1000171,-29039771.28021978
1000172,111771811.5
1000173,-207919959.37362626
1000174,-52952382.74725275
1000175,469996234.57142866
1000176,229126935.83516484
1000177,-298925452.11538464
1000178,-50139812.75824175
1000179,-84259275.84065935
1000180,-15060865.192307685
1000181,-144480974.21978018
1000182,-14698534.516483521
1000183,-146926706.10439563
1000184,-191051013.2912088
1000185,-72164499.75824174
1000186,552032580.7417582
1000187,-28787397.664835177
1000188,-167272624.52747253
1000189,652453777.8736264
1000190,184451072.17582417
1000191,27839105.769230768
1000192,691694407.7857143
1000193,-342853097.2032967
1000194,-65944145.934065945
1000195,-76619336.12087911
1000196,-80359993.75274725
1000197,-167410809.64835167
1000198,-82763491.0769231
1000199,164020043.03846157
1000200,-81532427.9120879
1000201,2224532437.39011
1000202,585035484.521978
1000203,-184784422.79120877
1000204,-60760774.85714286
1000205,202129305.46153846
1000206,-38427002.527472526
1000207,-119303579.4065934
1000208,-272810792.98901105
1000209,-55840696.06593407
1000210,41227626.55494506
1000211,43716945.021978006
1000212,71607883.64835164
1000213,-1170717998.4999998
1000214,-182845658.8571429
1000215,20090564.928571425
1000216,-73647193.24175823
1000217,-342132417.6208792
1000218,-99658714.56043956
1000219,-8513844.741758242
1000220,-528848964.1373628
1000221,-334158715.52747256
1000222,-49898792.23076925
1000223,-36698622.818681315
1000224,-75693112.19780222
1000225,-14796667.52197802
1000226,-347135768.0989012
1000227,-14185686.274725271
1000228,410261953.8406592
1000229,-248609645.2197802
1000230,-102311372.85164836
1000231,-337268363.90109897
1000232,-60624623.73626375
1000233,-175444663.8901099
1000234,-201733248.8846154
1000235,-166072039.18131867
1000236,60609374.80219781
1000237,-814269972.2912087
1000238,-126051216.63186812
1000239,-74506704.79670331
1000240,-3263030.0494505493
1000241,-23728278.120879125
1000242,37420470.13736264
1000243,-209932952.20879123
1000244,-120208625.15934063
1000245,-142175150.07692307
1000246,-46530225.516483516
1000247,-50796412.29120879
1000248,-99692388.98901099
1000249,-98229727.032967
1000250,-6609983.675824177
1000251,-67186631.40109889
1000252,-809510703.6483516
1000253,136476760.65384614
1000254,150850630.82417583
1000255,-111485397.65934065
1000256,-43256299.75274725
1000257,-94985420.98351648
1000258,-90239734.46703295
1000259,-94803628.84065934
1000260,411616180.46703285
1000261,-280309626.2417582
1000262,-7615765.9780219775
1000263,-58263296.7967033
1000264,-12783248.478021976
1000265,-86141908.04395604
1000266,-73853843.0879121
1000267,-17403081.384615384
1000268,-118536323.73076925
1000269,-3843792.313186818
1000270,-183350050.76373625
1000271,49970039.15384613
1000272,-132820734.18131867
1000273,57155728.28571432
1000274,-220102026.28021976
1000275,-35780647.07142857
1000276,-305868049.75274724
1000277,-138485390.05494505
1000278,-463391032.51648355
1000279,-56866375.12087913
1000280,-92429856.63186812
1000281,-75820348.46153846
1000282,-62997233.18681318
1000283,-14208695.076923076
1000284,-121827228.25274728
1000285,-70773902.53296703
1000286,-32885554.373626374
1000287,-77453906.49450548
1000288,-510584489.82417595
1000289,-102150627.14835165
1000290,-167223685.84615386
1000291,-657419408.9175823
1000292,-827402789.3956045
1000293,-52020095.91758243
1000294,-386262525.11538464
1000295,-101090554.01098903
1000296,-46796615.47252745
1000297,-100762004.40109889
1000298,-82136226.06593406
1000299,-220077507.3681319
1000300,-51179767.51648352
1000301,-438561299.09340656
1000302,-267566683.05494502
1000303,-118038435.93956044
1000304,-87301608.29670331
1000305,-338288547.67582417
1000306,-174912913.7912088
1000307,101972450.33516482
1000308,-179257058.23626375
1000309,-209581345.2967033
1000310,8116095.78021978
1000311,-279534162.59340656
1000312,-80263177.96703297
1000313,42891752.747252755
1000314,-197229098.68131864
1000315,-102446319.75274725
1000316,-70860891.70879121
1000317,-84457070.15934066
1000318,-19035912.164835174
1000319,20464588.75824176
1000320,-141942700.93406597
1000321,-19032304.472527474
1000322,-206183080.56593403
1000323,-19416105.313186795
1000324,-79306135.26373625
