index,2106금액시간별_1,2106금액시간별_2,2106금액시간별_3,2106금액시간별_4,2106금액시간별_5,2106금액시간별_6,2106건수시간별_1,2106건수시간별_2,2106건수시간별_3,2106건수시간별_4,2106건수시간별_5,2106건수시간별_6,2106금액_금요일,2106금액_목요일,2106금액_수요일,2106금액_월요일,2106금액_일요일,2106금액_토요일,2106금액_화요일,2106금액_가전/가구,2106금액_교육용품,2106금액_기타요식,2106금액_기타유통,2106금액_기타의료,2106금액_미용서비스,2106금액_백화점,2106금액_병원,2106금액_서비스,2106금액_숙박,2106금액_스포츠/문화/레저,2106금액_스포츠/문화/레저용품,2106금액_약국,2106금액_여행,2106금액_유아교육,2106금액_유흥,2106금액_음/식료품,2106금액_의복/의류,2106금액_인테리어,2106금액_일식/중식/양식,2106금액_자동차서비스/용품,2106금액_자동차판매,2106금액_제과/커피/패스트푸드,2106금액_주유,2106금액_패션/잡화,2106금액_편의점,2106금액_학원,2106금액_한식,2106금액_할인점/슈퍼마켓,2106금액_화장품,2106건수_가전/가구,2106건수_교육용품,2106건수_기타요식,2106건수_기타유통,2106건수_기타의료,2106건수_미용서비스,2106건수_백화점,2106건수_병원,2106건수_서비스,2106건수_숙박,2106건수_스포츠/문화/레저,2106건수_스포츠/문화/레저용품,2106건수_약국,2106건수_여행,2106건수_유아교육,2106건수_유흥,2106건수_음/식료품,2106건수_의복/의류,2106건수_인테리어,2106건수_일식/중식/양식,2106건수_자동차서비스/용품,2106건수_자동차판매,2106건수_제과/커피/패스트푸드,2106건수_주유,2106건수_패션/잡화,2106건수_편의점,2106건수_학원,2106건수_한식,2106건수_할인점/슈퍼마켓,2106건수_화장품,2016_아파트지수
1000854,153979734.9999993,1405757797.9999976,3934036809.999993,1569752323.9999974,454645441.9999992,76332271.99999925,454265172.1708145,1288809780.1341481,3089984876.6388097,1750831854.5845413,795192087.7020583,215420609.76961404,1359754112.9999974,1169748425.9999979,1070967511.9999977,1048726747.9999981,535294622.999999,1218832814.9999976,1191180143.9999971,288620613.99999905,20806379.999999825,278480964.999999,0.0,32466409.99999923,87741159.99999917,0.0,1835939670.9999967,90751434.99999933,0.0,193270333.9999992,168105820.99999923,50988597.99999921,0.0,0.0,9451399.999999424,104613845.99999945,223906880.9999992,188871237.99999958,222883665.99999958,578645344.9999983,0.0,2615977.9999994524,1989205014.9999962,15717649.999999855,699526746.9999983,70365659.9999995,387434817.99999934,26689314.999999292,27405433.999999918,75492542.29702015,3223825.0884045926,446734140.86479294,0.0,844517.5776694415,64742683.04801054,0.0,259194937.45033744,143684921.4068732,0.0,431463863.8598141,40561163.16922715,156026538.04685038,0.0,0.0,1182990.894793971,158238274.61416742,21296501.250531852,43646400.757707,232140058.9493048,86437290.21779932,0.0,12426234.969258329,1277719448.7098556,5411575.357657726,3565206077.884909,6227109.491833051,509969684.8511178,50944231.9436744,1689368.2983674111,7594504380.999987
1000855,64160756.99999947,451087597.99999803,3969106932.9999824,2930605373.9999866,976757923.9999955,30866666.999999594,244543036.3469365,774330181.8535061,4226911581.3307214,2352187028.7252526,711810703.1855224,112802721.55802225,1343824101.9999938,1243309078.9999948,1229978925.9999943,1053408289.999995,962530467.9999955,1319927287.9999943,1269607099.9999943,0.0,0.0,1069122621.9999952,0.0,0.0,672532736.9999968,0.0,818640004.9999957,44696629.99999961,0.0,103282951.99999893,102469333.99999927,0.0,0.0,0.0,6406499.999999811,136207599.9999988,0.0,68715609.99999955,2825796588.9999876,36700109.99999974,0.0,146329581.99999866,0.0,72856279.99999966,559290687.9999968,182125789.99999914,1065342605.9999948,251596194.9999981,260473422.9999982,0.0,0.0,1342194614.3409715,0.0,0.0,246160544.68188053,0.0,372334645.00258183,4023349.5305352244,0.0,6375672.818670073,40408836.870617054,0.0,0.0,0.0,4250096.45428327,99775688.27892488,0.0,61258639.019015245,1649595489.2841055,326865549.1442325,0.0,168095170.16880587,0.0,12472489.17211025,2734380587.7214785,10003975.690129686,835724728.1902052,436482546.8419021,72182629.78950694,8422585252.999964
1000856,51239272.99999988,327354881.0,1860931215.000001,1166489472.0000005,233003667.99999982,29187428.999999966,148758027.91260484,463563799.187025,1535911575.4392476,1130484783.990508,307841932.3725465,81645819.09806822,562014759.0000002,649089795.0,582700301.0000001,572121056.0000002,256915762.00000006,443598722.9999999,601765542.0000002,29198051.99999985,33369102.999999832,86893035.9999999,0.0,222236806.99999985,11112469.999999704,0.0,189040690.00000003,124505440.9999999,2423999.999999996,202515628.00000006,181774702.9999998,241051844.9999999,0.0,0.0,0.0,134904108.99999994,2865909.9999998338,12179694.999999734,85538734.99999987,190523282.99999982,0.0,59453529.99999978,0.0,0.0,401396616.0000002,444863921.0,394167017.9999999,604958441.0,13232904.999999931,2304382.8228397113,55932936.36380585,108317970.15983206,0.0,1924525.3981725448,12801366.31822945,0.0,137616185.10676265,15585490.246659178,108011.26095545529,73512250.32259788,83205245.04584563,334319663.1645996,0.0,0.0,0.0,156537619.18930867,1300840.572536455,509257.0541285755,75637826.38472712,176257694.95186827,0.0,234371175.4848627,0.0,0.0,1295025716.7911148,22947580.57012025,189189102.55061388,689826002.5202276,975095.7201897937,3668205938.0000014
1000857,44916861.999999836,395386483.9999997,2864119793.9999995,1080712991.9999998,280340267.9999996,29413093.999999978,162015884.8971586,527324585.3934025,2233491300.6180487,1306610008.4231787,387103358.5473045,78344356.1209051,774033781.9999996,860536189.9999994,824772564.9999996,841631592.9999998,216336706.9999999,448669673.99999976,728908982.9999995,37405367.99999981,627981351.9999996,237028972.99999973,0.0,82740388.99999994,12443371.999999719,0.0,68240363.99999987,62289007.99999979,80643049.99999993,89411120.99999987,92106605.99999978,0.0,0.0,0.0,16008429.999999737,117879261.99999954,24636219.999999758,17279136.999999836,134928759.99999955,722629316.9999998,149493899.99999964,200190714.99999994,0.0,428552200.9999998,339556814.9999997,122516399.99999975,1025197654.9999998,5731078.999999893,0.0,144338675.35350063,45979617.89541266,462031802.2781165,0.0,1169323.0552257886,10248602.908019472,0.0,32747971.447937913,30645960.3091751,38569191.7514963,68649536.76248783,4977703.2032556115,0.0,0.0,0.0,4340808.834330603,130382117.87080222,13477515.9546444,17830733.696027208,153921237.3899852,115263163.2344882,20017009.97104981,649811464.0075804,0.0,50550135.79982231,1419603495.984148,12299824.101638824,1245204099.0074983,22829503.183348354,0.0,4694889493.999999
1000858,39690322.99999991,292607017.99999905,2117626618.9999952,1715528531.9999964,355646106.99999905,28438878.99999968,113088759.71546537,304141381.2751783,2124989184.2532067,1588919649.1777558,352952641.3037761,65445862.27460682,719952634.9999985,662975089.9999982,624070613.9999987,690432764.9999985,458839632.9999987,749154391.9999983,644112348.9999982,79726582.99999982,0.0,614895870.9999983,0.0,4104499.999999911,118328987.99999951,0.0,175824917.9999995,132103503.9999994,0.0,94978659.99999967,33339849.999999907,0.0,0.0,0.0,16460529.999999732,220130571.99999917,13929819.999999782,105403829.99999934,631185515.9999986,0.0,0.0,108614079.99999936,0.0,88703999.99999969,312351737.99999917,184392094.99999952,779960128.9999982,820250793.9999981,14851499.999999825,21830384.095373906,0.0,994266785.9069476,0.0,303063.9977414248,49458288.69527126,0.0,17211800.49845762,24929457.878729984,0.0,32063332.996071618,13711700.621974168,0.0,0.0,0.0,2106883.354936683,139044924.19879556,1520706.9063757597,12598603.81920974,498607512.9977589,0.0,0.0,245278132.87647945,0.0,893829.302094185,1072717465.4961154,11130968.027645659,565447389.8558017,845708964.1358302,707282.3383757474,4549537477.99999
1000859,84744390.99999848,1210275345.9999878,5143847482.999951,2705697819.999974,1080878267.9999895,36494482.99999912,243177601.9346668,1738721126.5301533,5033063515.6510935,2382504150.3632693,757901896.084182,106569500.43653654,1950387492.9999814,1766716725.999983,1554247224.9999845,1749926993.9999826,618157120.999994,948198928.9999907,1674303302.999984,26611021.99999972,0.0,438939988.9999955,0.0,24767551.999999106,235816134.99999726,0.0,826848483.999992,112568188.99999838,0.0,88059032.99999864,224675896.99999776,117884188.99999797,0.0,10428139.9999992,27175929.999999736,15235184.999999749,0.0,627156919.999994,1212830269.9999878,533707745.9999944,24383381.99999926,523639459.99999446,1446702609.9999857,0.0,626892515.9999939,844159162.9999917,2273455978.999978,0.0,0.0,87125098.74855664,0.0,788953028.239159,0.0,678682.5243643977,147271696.3608133,0.0,295032376.3801163,12879963.5328538,0.0,298096763.28542805,57811801.119041435,344283614.2723748,0.0,814794.1399889986,4208474.698061225,14094786.495929299,0.0,25048556.318694454,522662709.4009316,64703657.373167,544982.3350008626,1775850660.4804628,795165398.1601746,0.0,2886186791.599552,9299263.471422682,2131224692.0638006,0.0,0.0,10261937790.999903
1000860,45817489.99999945,1084610098.999996,4667983517.999985,1501391120.9999948,647428414.9999979,21072480.999999914,184547130.29986015,1231743248.2434614,4164034816.1819925,1781789414.374105,524881804.51246804,81306710.38808559,1453528921.999995,1231209279.9999955,1273364992.9999955,1116640702.9999957,214075106.9999993,1103468241.9999957,1576015876.9999943,26883391.9999998,29393433.999999624,317904509.9999987,0.0,933778782.9999964,43633129.9999992,0.0,2443539104.9999914,548693731.9999975,0.0,56104104.99999938,58931673.99999953,255739609.9999988,0.0,0.0,39412729.99999973,67695390.99999973,18088223.999999475,63439860.9999992,141683536.99999896,172093603.99999866,0.0,210533699.99999925,0.0,0.0,397122865.9999982,125236044.9999993,1950206532.9999936,68189157.99999948,0.0,8191273.412646054,4088817.0961279897,1081546310.179964,0.0,12426435.65727409,49213993.4399325,0.0,253410079.53450915,97419421.82622269,0.0,58084278.851412684,10272544.71851895,538107793.3866286,0.0,0.0,11069886.169918325,50297758.51950511,691545.3364891012,32968207.4461101,154260319.85675195,69932706.466249,0.0,779056049.0163633,0.0,0.0,2613423552.1080933,17580586.454071034,1934099694.3427927,192161870.1803857,0.0,7968303123.999974
1000861,21066698.99999964,288180289.99999774,2412664545.9999824,1725182507.999987,312308418.99999726,11609980.999999847,61097728.00029668,560397856.6813086,2679137169.857284,1216419664.5236413,208692191.2878606,45267832.64957314,893337477.9999931,766491836.9999943,679150562.999995,708578255.9999948,366890678.999997,627075497.9999951,729488131.9999946,80581691.99999934,17189829.999999825,563388881.9999958,0.0,0.0,52312879.99999932,0.0,184093164.99999818,206629304.99999812,0.0,186563397.99999848,81764484.99999906,124107833.99999908,0.0,0.0,0.0,167004008.99999878,202636714.9999983,57876981.99999921,388314907.9999969,45852329.99999963,0.0,124995619.99999881,0.0,4662091.999999568,199273598.99999836,1206330194.9999912,871383821.9999936,0.0,6050699.999999682,4288159.3911703015,47974298.734123856,834436459.3124355,0.0,0.0,32725349.406990513,0.0,130757928.70631565,21772513.600153312,0.0,83335116.2582772,39765048.28109093,192156735.22391343,0.0,0.0,0.0,140929786.87190515,30486998.55139055,23730702.352084197,381715416.19729036,4955717.043024413,0.0,536531344.9393625,0.0,1643853.3527566097,1067505110.398518,95466636.1626734,1100237235.5451417,0.0,598032.6713430354,4771012442.999965
1000862,48285694.99999989,625692092.0,2454405885.000001,1182186251.0000005,193416271.99999967,13158538.999999665,89928027.91978666,449970126.4165995,2410657587.7863355,1223993927.8867023,288678884.50421417,53916179.48636297,587822025.0,647510560.0,698971085.0000002,826142117.0,278139207.99999976,605436758.0,873122981.0000004,981286881.0000004,0.0,333928051.9999998,0.0,0.0,86900484.99999966,0.0,378806257.9999999,82439269.9999997,0.0,341331728.99999976,33063759.999999918,0.0,0.0,0.0,0.0,367487504.9999999,34161025.99999988,0.0,125570447.0,0.0,642974242.0,93621570.99999964,0.0,278686495.00000006,129965927.99999963,134820209.99999988,406460144.99999994,0.0,65640729.999999896,324672400.33667034,0.0,1175405915.1800878,0.0,0.0,63076369.110083155,0.0,105864659.8007248,85589821.59310333,0.0,70446583.94353163,47903086.36445863,0.0,0.0,0.0,0.0,398058311.30422515,16400039.294631168,0.0,225202253.60604873,0.0,4647823.587706657,343864596.6085566,0.0,132042086.28544971,865608383.5841908,37402579.913432546,568456272.7541335,0.0,52503550.73296342,4517144734.000002
1000863,28907639.999999557,632206304.9999942,3245373107.999972,1769692320.9999843,268571327.9999975,14769271.99999961,82045196.6079291,712857312.8083775,3293607759.5405517,1533605130.242459,295159780.39166725,42244794.40896275,1044187820.9999908,885676242.9999921,865809776.9999925,992828607.9999912,410246377.99999624,817779201.9999927,942991944.9999917,97589354.99999893,121598885.9999984,211303778.99999762,0.0,119023539.99999844,80957431.99999876,0.0,1338091414.9999878,87471508.9999991,24151709.9999996,153378879.9999985,17902719.99999965,454207285.99999607,0.0,0.0,15622069.999999866,55890649.99999903,199343498.99999806,3966899.9999999264,1122602775.9999902,110575331.99999851,0.0,68041777.99999888,0.0,0.0,141164356.99999836,507151793.9999952,593504758.9999949,206321193.99999803,229658352.99999803,167695032.2256863,57882072.76041404,585166768.1095287,0.0,2005825.8672510597,74261295.36034948,0.0,760337981.4360503,22606575.18419109,20093865.04885528,43035661.23958094,1024479.3973446942,652912096.5993471,0.0,0.0,5139476.468058771,65219302.14868851,29681822.697755832,294403.9409719503,859945227.0970262,53616834.15050195,0.0,210491580.7265826,0.0,0.0,606398010.8221775,41119864.502754256,819978082.8429922,560105089.8541708,320508625.5196634,5959519973.9999485
1000864,47973972.99999948,1328221206.000002,6129465149.000008,3244549248.0000033,626656290.0000004,22814543.999999255,151642636.95092097,1717303729.7322936,6064101120.442545,2822119843.4482727,562738365.073637,81774714.35234383,1968078198.0000024,1607792988.0000014,1641349278.0000014,1582129095.0000014,1129654385.0000012,1507086142.000002,1963590324.0000024,65137798.9999998,0.0,330376185.00000024,0.0,0.0,382579583.99999994,0.0,1223616822.0000007,0.0,0.0,454900387.0000002,286055525.0000004,275251236.00000036,0.0,0.0,0.0,128737631.99999976,188769940.9999992,310553210.00000006,800228429.000001,574491669.0000004,580794319.9999998,535456832.0,1826627449.0000024,173555421.00000006,375536270.0000005,804656187.0000008,1756126937.0000014,10074404.999999968,316154170.0,2315831.4697809136,0.0,1208044255.7862113,0.0,0.0,140772668.7182619,0.0,1109837556.4983127,0.0,0.0,97981879.0268189,37167541.45404331,1053219863.7989583,0.0,0.0,0.0,132899847.01485449,53729757.63838332,91440614.72336115,485543678.1131178,307354886.18873614,14398549.64735951,1270046210.9576569,1486051872.773058,146522949.54220328,2456434152.4488854,115316800.62067069,1154568106.369166,7412214.339250969,28621172.87090939,11399680410.000015
