상권_코드,면적당_매출
1000715,174174.90251569223
1000716,104298.39814943523
1000717,397908.0234720388
1000718,853521.7069493948
1000719,3018709.3858860824
1000720,2293463.255265528
1000721,220553.62906888343
1000722,406666.0172856326
1000723,1201830.3300666928
1000724,804087.4803801
1000725,570640.919308886
1000726,2055040.6676893968
1000727,4879530.077702413
1000728,4640557.236012129
1000729,251417.7569222272
1000730,398878.5415185747
1000731,1918663.2820723748
1000732,1106406.6375529561
1000733,1947875.5051767065
1000734,944733.8157594041
1000735,178670.26082081225
1000736,221388.07194885687
1000737,956281.673351623
1000738,1616471.2228014122
1000739,2452935.9667466134
1000740,3907962.883049409
1000741,2398086.8813653984
1000742,260926.05258372196
1000743,2320642.0073409597
1000744,1477035.4663277452
1000745,1061286.1016262565
1000746,668890.3078706228
1000747,720439.8870466612
1000748,730148.3363847635
1000749,431164.8256368904
1000750,224427.66668176185
1000751,625399.6508778747
1000752,383070.99757653085
1000753,442245.99240123294
1000754,473753.44283512206
1000755,1723629.536576139
1000756,788896.5779193754
1000757,1389286.4087647386
1000758,4015731.4847110934
1000759,469789.34458606166
1000760,2578520.9070675764
1000761,2169435.3584301546
1000762,87330.97263412454
1000763,592439.2272176716
1000764,6118477.887314937
1000765,5312266.985596719
1000766,2816054.709770865
1000767,307438.9498195129
1000768,1758857.7573103688
1000769,1372550.5560216696
1000770,451535.0379744081
1000771,461071.78235178045
1000772,1102812.604049488
1000773,1203877.4089527351
1000774,1369822.2746258616
1000775,3329445.41566657
1000776,316408.3462786951
1000777,634752.535011899
1000778,340643.49468990474
1000779,1622072.3483785437
1000780,574702.245277975
1000781,4223770.347182628
1000782,1722970.8522465364
1000783,1932422.148586101
1000784,439960.89516269334
1000785,1002753.191209889
1000786,567106.1392303286
1000787,177527.20437365497
1000788,662846.1979032247
1000789,137114.21623084467
1000790,524311.256826502
1000791,1414127.765348133
1000792,940399.0723227835
1000793,1290386.8206199699
1000794,1302444.7167199994
1000795,1166805.4693212155
1000796,1733248.0502736769
1000797,908514.6778670996
1000798,1081518.4802832538
1000799,1861647.6757958743
1000800,2339033.9659592845
1000801,1488329.0662416285
1000802,2635597.9856106564
1000803,1604263.5831312146
1000804,2234296.502667599
1000806,2225051.825872051
1000807,540292.6166136692
1000808,212127.76819947362
1000809,2381917.863228005
1000810,407327.09616380185
1000811,117738.06904083189
1000812,1009946.357755406
1000813,477565.120522404
1000814,724538.6756931288
1000815,1391082.6567183426
1000816,689307.7727502311
1000817,1326047.1255997198
1000818,974284.607684802
1000819,856975.9725568052
1000820,2963194.564627958
1000821,3370114.9337137705
1000822,441247.7841802045
1000823,1338470.651519423
1000824,439164.72973077383
1000825,907877.9087735866
1000826,694385.088209783
1000827,4469462.742643573
1000828,1330712.0182719359
1000829,3154356.7586605414
1000830,1366027.2890279773
