상권_코드,면적당_점포수,월_평균_소득_금액,의료_총_매출_비율,면적당_외식_점포수,총_직장_인구_수,외식_총_점포수,남성_매출_비율,연령대_30_생활인구_비율,자동차_총_매출_비율,면적,화요일_매출_비율,남성_생활인구_비율,시간대_1_생활인구_비율,남성_직장_인구_수,여성_매출_비율,const
1000857,462.8651446722957,3138188,0.0321585317807695,24.935496009281923,58364,16.0,0.6613451503659082,0.2184637028068227,0.1857601159973117,0.6416555738070822,0.1982047820430621,0.5038066021422112,0.2319262769993504,0.6593790692892879,0.3386548496340917,1.0
1000858,1266.831665644154,3706556,0.0395489473094961,86.99273240474876,26680,32.0,0.5346929127484978,0.1744734131146239,0.0,0.3678468202506211,0.1729226068015766,0.4503443725891499,0.2357014879151734,0.5014992503748126,0.4653070872515021,1.0
1000859,525.6539002271298,3326224,0.0944753558972338,26.47177914812884,47024,28.0,0.6359697481942626,0.2282544967223948,0.1953621020542785,1.0577301904537528,0.1617893610901083,0.5153223452015845,0.2001423270716359,0.6832255869343314,0.3640302518057374,1.0
1000860,498.81420334443294,3708697,0.4559386661706524,30.79100020644648,158616,25.0,0.5906546896999298,0.2278124700816907,0.0215972712536079,0.8119255572206433,0.166503793347633,0.4892419254557734,0.2095091888557301,0.4859787158924699,0.4093453103000701,1.0
1000861,803.8828848199965,4544427,0.0645986575558381,46.41356147921458,60704,25.0,0.4737662215518258,0.1623805735705008,0.0096106079260544,0.538635674644269,0.1684821520712891,0.4888002050605001,0.2504431480523632,0.7655508697944122,0.5262337784481742,1.0
1000862,340.9294735381631,4197745,0.0838596680661505,22.23453088292368,67360,12.0,0.4600479372881996,0.1814472017309048,0.1423408546466114,0.539701065121914,0.1667249590092902,0.4551278415102018,0.2365106205200097,0.6635391923990499,0.5399520627118004,1.0
1000863,898.9679595566812,4101275,0.3207174821694794,32.88907169109809,56160,24.0,0.456691368426975,0.1393902222576962,0.0185544024489244,0.7297256737865286,0.1594409043117703,0.4534019527537746,0.2658812213065854,0.6234330484330485,0.543308631573025,1.0
1000864,918.9738763853,5367860,0.1314833402421673,62.15282255745991,77412,28.0,0.4196316672454908,0.1359781581185162,0.261578687362517,0.4505024687191667,0.1900332460869463,0.4528304277437957,0.2637207028587357,0.6141683459928693,0.5803683327545092,1.0
1000865,694.2072528415465,5339623,0.0053068508650478,50.950991034241945,75540,24.0,0.6103766963244404,0.1890898799635007,0.0401420163389622,0.4710408867978768,0.1289582220659353,0.5018312850620381,0.1854509335799541,0.5591739475774424,0.3896233036755596,1.0
1000866,1120.8620948251587,5210342,0.0411462150431786,44.6669826082255,332520,32.0,0.4195146762781416,0.1254001224406669,0.0012403420744853,0.7164128430315583,0.1353502413642417,0.4371133344202299,0.2681726546775377,0.9153494526645014,0.5804853237218583,1.0
1000867,1109.6346970672248,4915639,0.0625977923765817,87.31551714627342,35052,24.0,0.5111612835059888,0.1334741058811979,0.3477867658221723,0.2748652334016933,0.1417267930242052,0.4373878873379175,0.2582377089417462,0.7164213169006048,0.4888387164940111,1.0
1000868,625.6282878607451,2746384,0.0,27.34987050757356,38768,8.0,0.5637517822360198,0.2536529974309155,0.0,0.2925059552945485,0.165651903947917,0.4983791848325863,0.2281460704378355,0.5444696657036732,0.4362482177639801,1.0
1000869,225.74870780696853,3551100,0.0946913043889946,19.212655983571796,36768,16.0,0.530828020209674,0.1534786268298627,0.0441044507730954,0.8327843903352642,0.3175306564967287,0.4490300064956651,0.2527901090000461,0.6003046127067014,0.4691719797903259,1.0
