상권_코드,공시지가,아파트_단지_수,아파트_가격_2억_미만_세대_수,아파트_가격_2~4억_세대_수,아파트_가격_5억_이상_세대수,아파트_평균_시가,아파트_평균_면적,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,슈퍼마켓_수,극장_수,숙박_시설_수,지하철_역_수,버스_정거장_수
1000161,3182513.1642133836,1516.0,8220.0,6048.0,4.0,184458482.82058048,54.0,99.0,0.0,4.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,10.0
1000162,3777162.727272727,1941.0,11587.0,6949.0,104.0,184712039.85316846,59.75,58.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1000163,3182513.1642133836,1750.0,10143.0,5826.0,0.0,177883709.52914286,55.75,36.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
1000164,4144272.338631985,609.0,2083.0,8238.0,7639.0,301913596.4285714,60.75,26.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1000165,3182513.1642133836,1595.0,9887.0,4559.0,9.0,172886358.01253918,50.75,127.0,0.0,12.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,5.0,12.0
1000166,3182513.1642133836,1754.0,10452.0,5606.0,12.0,176945346.96807298,51.75,99.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
1000167,3777162.727272727,2328.0,13662.0,8153.0,16.0,182230751.35824743,57.0,93.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,10.0
1000168,3548890.7701352146,243.0,2399.0,2881.0,123.0,149523250.8148148,52.75,43.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0
1000169,3548890.7701352146,295.0,5090.0,2476.0,227.0,161436145.1016949,50.75,49.0,0.0,1.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,15.0,3.0,0.0,12.0,0.0,0.0
1000170,3807487.0260557053,122.0,3700.0,3025.0,3580.0,290720714.74590164,53.75,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
