상권_코드,리뷰_수,평균_별점,사장님_댓글_비율,맛있다_비율,친절_비율,분위기_비율,싸다_비율,비싸다_비율,F_제품_단가,D_제품_단가,맛_매력도_pca,SNS_언급량_pca,입소문_포토제닉_pca
1000581,100.0,4.41,0.0,0.8728255251612046,0.4573964859762472,0.8075628125590747,0.3262017081913528,0.748364854673087,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000582,121.0,4.595041322314049,0.0082644628099173,1.100997835131576,1.065311124362409,0.6281480311592219,1.213146848645527,1.19278931972688,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000583,197.0,4.649746192893401,0.1522842639593908,0.9968819449810712,1.2453342257775075,0.7234065206560837,0.9935077406843232,0.8954329298118879,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000584,113.0,4.539823008849558,0.0265486725663716,1.0976380614509793,2.171069402461673,3.236977437118623,1.4433703902272248,1.8448943952117816,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000585,209.0,4.755980861244019,0.0382775119617224,1.055039667784886,1.591636314836876,1.3637424360693633,1.560773723403602,1.3811244754732297,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000586,209.0,4.755980861244019,0.0382775119617224,1.055039667784886,1.591636314836876,1.3637424360693633,1.560773723403602,1.3811244754732297,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000587,249.0,4.504016064257028,0.0,0.7471873550841003,0.3840861328022521,0.24801125828651,0.7205258614668436,0.7513703360171555,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000588,113.0,4.539823008849558,0.0265486725663716,1.0976380614509793,2.171069402461673,3.236977437118623,1.4433703902272248,1.8448943952117816,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000589,645.0,4.465891472868217,0.0372093023255813,0.9330081093114468,0.6253341668737983,0.4787194055297752,0.7080347154540991,0.7707412124540098,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000590,858.0,4.607226107226107,0.0396270396270396,1.0279873686109144,1.5944420839816205,1.5557736893534897,1.0835371425936544,1.052894276055209,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000591,4614.0,4.286952752492415,0.2004768097095795,0.9712332030602,0.9516701918881608,0.9389546967718148,0.8200996564845454,0.924507947905634,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000592,1595.0,4.325705329153605,0.0269592476489028,0.9749263826664504,0.5526819893243912,0.4050471787130155,0.4806106672411781,0.7138455622273511,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000593,374.0,4.53475935828877,0.0133689839572192,1.0133423279735347,0.4780760548609293,0.4699563394886091,0.1744394161451084,0.8432682663428596,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000594,2264.0,4.592535335689046,0.0768551236749116,1.0125068278209064,0.9844383090397868,1.2211638872099913,0.9941659834453774,1.0247045271583788,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000595,2213.0,4.4098508811568005,0.0492544057840036,0.9855017434544244,0.7252805471257916,0.53020391457455,0.972856427502453,0.7608770551353121,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000596,212.0,4.455188679245283,0.0,0.9534340394015144,0.9610818101559226,1.5685182263910995,1.00014674681311,0.8825057248503383,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
1000597,1519.0,4.475312705727452,0.1389071757735352,1.0002669430964568,0.8458645889440445,0.6786242122345165,1.009314041145068,0.7671566741217575,27202.410256410258,7387.0,-0.027932669944140263,-2.149075089763011,-0.16870072835025438
