상권_코드,외식업_합계
1000186,140868414.99999845
1000187,93489646.99999978
1000188,1092059431.0000026
1000189,1418304952.9999962
1000190,539325879.0000002
1000191,325485730.9999971
1000192,574563977.999994
1000193,1288036150.0000007
1000194,206853899.99999854
1000195,1313872027.9999988
1000196,864401074.9999998
1000197,1407625940.0000007
1000198,1224842869.9999962
1000199,1054549380.0000013
1000200,535281572.9999981
1000201,1930972130.9999957
1000202,1116891126.9999971
1000203,212383830.99999803
1000204,1625547102.9999905
1000205,1139369684.9999957
1000206,694541698.9999973
1000207,1313662115.9999971
1000208,1806415615.9999807
1000209,893299674.9999963
1000210,4358871419.999978
1000211,19611098.99999986
1000212,200329454.99999884
1000213,69127339.9999988
1000214,1826859226.9999862
1000215,285204337.9999978
1000216,609523247.999999
1000217,879322763.0000005
1000218,171853300.00000018
1000219,102954580.99999948
1000220,2227133174.9999824
1000221,1684950401.0000002
1000222,1504560795.9999971
1000223,1069993093.999995
1000224,558072478.9999994
1000225,53831837.999999985
1000226,2157848921.9999876
1000227,134601771.99999937
1000228,994967093.9999893
1000229,1137512951.9999933
1000230,2943647092.999995
1000231,2444331150.999995
1000232,469592098.999999
1000233,1573266477.9999847
1000234,355679096.0000005
1000235,1306760215.999993
1000236,205989124.99999872
1000237,1718453755.999997
1000238,613804383.9999988
1000239,2685784861.9999876
1000240,90608366.00000022
1000241,674328042.9999969
1000242,641298681.9999965
1000243,2383192521.999988
1000244,618187287.9999964
1000245,2159592652.9999804
1000246,735319687.9999985
1000247,1697108595.999999
1000248,398656531.99999595
1000249,7129375494.000004
1000250,171502278.0
1000251,1123500357.999999
1000252,6322627999.999964
1000253,449662440.9999973
1000254,3173591606.0000024
1000255,318618759.9999981
1000256,666677712.9999957
1000257,447297885.99999976
1000258,925864155.999994
1000259,743971499.9999936
1000260,2009234843.999984
1000261,555873572.9999999
1000262,445694003.9999962
1000263,2275591026.000002
1000264,1827759136.999988
1000265,1040335780.9999974
1000266,1087395821.9999962
1000267,556969280.9999954
1000268,1038097692.9999945
1000269,687177996.999995
1000270,1015157607.9999937
1000271,843720641.9999948
1000272,2338545173.9999967
1000273,2254077983.999986
1000274,788291076.9999987
1000275,241721459.99999982
1000276,1479158296.999998
1000277,2375329488.000002
1000278,1386092820.000001
1000279,67923315.00000007
1000280,159484019.9999991
1000281,928598676.9999976
