상권_코드,합계
1000642,3165468
1000643,10109435
1000644,23562458
1000645,4334073
1000646,4315184
1000647,3759437
1000648,3722263
1000649,640012
1000650,7853850
1000651,2988735
1000652,2113315
1000653,7120093
1000654,3050394
1000655,6037606
1000656,2136267
1000657,1433534
1000658,2087070
1000659,4090507
1000660,7598272
1000661,9264380
1000662,3180749
1000663,5590727
1000664,4904592
1000665,3764549
1000666,3702625
1000667,3522226
1000668,2959871
1000669,2103457
1000670,2159397
1000671,6551842
1000672,1858054
1000673,7842765
1000674,5364208
1000675,3331418
1000676,3853357
1000677,3110997
1000678,1801564
1000679,7619163
1000680,3385975
1000681,1066729
1000682,6780241
1000683,1003204
1000684,2852472
1000685,2356077
1000686,258121
1000687,6634518
1000688,8892564
1000689,6151151
1000690,7731508
1000691,9698293
1000692,4059978
1000693,21788886
1000694,1599401
1000695,2892223
1000696,3958881
1000697,1369677
1000698,8339821
1000699,1455498
1000700,2199762
1000701,475962
1000702,5177583
1000703,6170187
1000704,2835533
1000705,5402363
1000706,1976513
1000707,11997890
1000708,6747900
1000709,791494
1000710,6360980
1000711,2065262
1000712,8552751
1000713,1077373
1000714,2395037
1000715,233614
1000716,1169946
1000717,2028700
1000718,3289307
1000719,14534756
1000720,3787088
1000721,1432334
1000722,1701053
1000723,1981990
1000724,5312037
1000725,1641204
1000726,9316092
1000727,7280133
1000728,8939736
1000729,946970
1000730,981417
1000731,12096103
1000732,6055762
1000733,8668527
1000734,2898253
1000735,1634203
1000736,1081096
1000737,5438005
1000738,5623179
1000739,7509395
1000740,5609852
1000741,4967928
1000742,1610460
1000743,12623309
1000744,7371514
1000745,6423789
1000746,5114277
1000747,2595313
1000748,3833991
1000749,2465048
1000750,795589
1000751,616876
1000752,2513056
1000753,1776287
1000754,1639323
1000755,2386702
1000756,6291927
1000757,10080668
1000758,5329858
1000759,3231347
1000760,19406438
1000761,13584511
1000762,234901
1000763,487196
1000764,8851588
1000765,6003729
1000766,6427188
1000767,1523508
1000768,12325040
1000769,4561504
1000770,1640764
1000771,2913248
1000772,4233047
1000773,4809251
1000774,7087887
1000775,6409880
1000776,1309653
1000777,3358837
1000778,2375418
1000779,12067805
1000780,4053307
1000781,10254794
1000782,3157224
1000783,7003103
1000784,5452278
1000785,6724215
1000786,2657628
1000787,1813614
1000788,6004671
1000789,440922
1000790,2369045
1000791,7989903
1000792,3142714
1000793,3932345
1000794,6015897
1000795,3320592
1000796,12329302
1000797,5847021
1000798,4574255
1000799,4823299
1000800,6488809
1000801,5926643
1000802,11215007
1000803,5546141
1000804,8253000
1000806,13172546
1000807,3965205
1000808,1656957
1000809,7079396
1000810,3727957
1000811,1203728
1000812,5501449
1000813,6816415
1000814,2668866
1000815,6758251
1000816,6786905
1000817,7126720
1000818,4237536
1000819,3580414
1000820,6365361
1000821,10967978
1000822,2401521
1000823,7149343
1000824,3454358
1000825,1229422
1000826,4018374
1000827,10382788
1000828,2353636
1000829,7226424
1000830,3449871
1000831,6171033
1000832,3811249
1000833,3434224
1000834,12523302
1000835,3634256
1000836,4025960
1000837,8462663
1000838,6581399
1000839,35553195
1000840,1631199
1000841,686795
1000842,1916407
1000843,1680855
1000844,5107429
1000845,7650806
1000846,8931016
1000847,14624816
1000848,8969518
1000849,11039513
1000850,5029496
1000851,3043717
1000852,6431700
1000853,3496262
1000854,3458254
1000855,5597844
1000856,6067376
1000857,4014335
1000858,5064974
1000859,7763408
1000860,6931759
1000861,3326643
1000862,1659015
1000863,9025828
1000864,2675286
1000865,3839402
1000866,13586657
1000867,4318763
1000868,2681017
1000869,896804
1000870,8027697
1000871,14223529
1000872,4749634
1000873,2818024
1000874,190138
1000875,10291012
1000876,4073610
1000877,3179275
1000878,2418973
1000879,2850024
1000880,3256441
1000881,5266219
1000882,3559999
1000883,5216432
1000884,4102166
1000885,4937350
1000886,2797141
1000887,3808982
1000888,842301
1000889,4216183
1000890,5337726
1000891,4627584
1000892,9098915
1000893,8683343
1000894,8149335
1000895,6087426
1000896,11879445
1000897,3340655
1000898,2609864
1000899,2353079
1000900,9291074
1000901,6197735
1000902,7115202
1000903,4353898
1000904,16179815
1000905,3892817
1000906,1595062
1000907,5608278
1000908,1946461
1000909,1900701
1000910,2584351
1000911,4447694
1000912,102489
1000913,12624637
1000914,11012415
1000915,2559080
1000916,2696364
1000917,5139528
1000918,1192968
1000919,5590012
1000920,6880829
1000921,4608658
1000922,8499650
1000923,4285234
1000924,5642608
1000925,8776701
1000926,3684915
1000927,8464514
1000928,7089269
1000929,5104769
1000930,18994187
1000931,7919092
1000932,4693995
1000933,9030826
1000934,11205629
1000935,15851940
1000936,5140479
1000937,9230417
1000938,2578181
1000939,7001682
1000940,9410069
1000941,18749720
1000942,5064727
1000943,9543062
1000944,11148880
1000945,18171860
1000946,10129654
1000947,9619062
1000948,15457362
1000949,5849685
1000950,2765375
1000951,7519934
1000952,10631671
1000953,5831492
1000954,23810334
1000955,6666958
1000956,6302272
1000957,7679750
1000958,16249738
1000959,9670560
1000960,10908609
1000961,12023233
1000962,11855144
1000963,9965717
1000964,8361541
1000965,11245300
1000966,3579101
1000967,9569665
1000968,10360162
1000969,2931303
1000970,2052608
1000971,2813272
1000972,5314265
1000973,3737555
1000974,3954639
1000975,2123121
1000976,6306493
1000977,4674722
1000978,7024579
1000979,7222441
1000980,7612538
1000981,16493682
1000982,4499556
1000983,11842942
1000984,5600510
1000985,4133206
1000986,10549825
1000987,3119155
1000988,3899479
1000989,3767947
1000990,9778205
1000991,3559262
1000992,5318784
1000993,8068784
1000994,1109159
1000995,1447869
1000996,2924084
1000997,7014930
1000998,3783626
1000999,5894636
1001000,6196204
1001001,4649251
1001002,11111664
1001003,3300264
1001004,4943520
1001005,4908371
1001006,4347989
1001007,4132760
1001008,7727539
1001009,3019840
1001010,3579035
