시도,행정구역코드,행정기관코드,법정동코드,
서울특별시,1111065,1135063000,1135010500,
서울특별시,1111066,1135064000,1135010500,
서울특별시,1111076,1135066500,1135010500,
서울특별시,1111069,1135067000,1135010500,
서울특별시,1111077,1135069500,1135010500,
서울특별시,1111072,1135070000,1135010500,
서울특별시,1111073,1135071000,1135010500,
서울특별시,1111074,1135072000,1135010500,
서울특별시,11120,1138000000,1138000000,
서울특별시,1112051,1138051000,1138010200,
서울특별시,1112052,1138052000,1138010300,
서울특별시,1112072,1138053000,1138010300,
서울특별시,1112055,1138055100,1138010400,
서울특별시,1112056,1138055200,1138010400,
서울특별시,1112057,1138056000,1138010500,
서울특별시,1112058,1138057000,1138010600,
서울특별시,1112059,1138058000,1138010700,
서울특별시,1112060,1138059000,1138010700,
서울특별시,1112073,1138060000,1138010700,
서울특별시,1112074,1138062500,1138010800,
서울특별시,1112065,1138063100,1138010900,
서울특별시,1112066,1138063200,1138010900,
서울특별시,1112067,1138064000,1138011000,
서울특별시,1112068,1138065000,1138010100,
서울특별시,1112071,1138069000,1138011400,
서울특별시,11130,1141000000,1141000000,
서울특별시,1113052,1141052000,1141010500,
서울특별시,1113052,1141052000,1141010600,
서울특별시,1113052,1141052000,1141010700,
서울특별시,1113052,1141052000,1141010800,
서울특별시,1113052,1141052000,1141010900,
서울특별시,1113074,1141055500,1141011000,
서울특별시,1113073,1141056500,1141010100,
서울특별시,1113073,1141056500,1141010200,
서울특별시,1113073,1141056500,1141010300,
서울특별시,1113073,1141056500,1141010400,
서울특별시,1113073,1141056500,1141011000,
서울특별시,1113075,1141058500,1141011200,
서울특별시,1113075,1141058500,1141011300,
서울특별시,1113075,1141058500,1141011400,
서울특별시,1113075,1141058500,1141011500,
서울특별시,1113075,1141058500,1141011600,
서울특별시,1113076,1141061500,1141011700,
서울특별시,1113062,1141062000,1141011100,
서울특별시,1113064,1141064000,1141011100,
서울특별시,1113065,1141065500,1141011100,
서울특별시,1113066,1141066000,1141011800,
서울특별시,1113068,1141068500,1141011800,
서울특별시,1113069,1141069000,1141012000,
서울특별시,1113070,1141070000,1141012000,
서울특별시,1113071,1141071000,1141011900,
서울특별시,1113072,1141072000,1141011900,
서울특별시,11140,1144000000,1144000000,
서울특별시,1114078,1144055500,1144010100,
서울특별시,1114078,1144055500,1144010200,
서울특별시,1114078,1144055500,1144010900,
서울특별시,1114077,1144056500,1144010100,
서울특별시,1114077,1144056500,1144010200,
서울특별시,1114077,1144056500,1144010300,
서울특별시,1114077,1144056500,1144010400,
서울특별시,1114075,1144058500,1144010400,
서울특별시,1114075,1144058500,1144010700,
서울특별시,1114059,1144059000,1144010400,
서울특별시,1114059,1144059000,1144010500,
서울특별시,1114059,1144059000,1144010600,
서울특별시,1114059,1144059000,1144010700,
서울특별시,1114059,1144059000,1144010800,
서울특별시,1114059,1144059000,1144010900,
서울특별시,1114060,1144060000,1144010800,
서울특별시,1114060,1144060000,1144011000,
서울특별시,1114060,1144060000,1144011100,
서울특별시,1114061,1144061000,1144010200,
서울특별시,1114061,1144061000,1144010900,
서울특별시,1114063,1144063000,1144010800,
서울특별시,1114063,1144063000,1144011100,
서울특별시,1114063,1144063000,1144011200,
서울특별시,1114063,1144063000,1144011300,
서울특별시,1114063,1144063000,1144011700,
서울특별시,1114076,1144065500,1144011400,
서울특별시,1114076,1144065500,1144011500,
서울특별시,1114076,1144065500,1144011600,
서울특별시,1114076,1144065500,1144011700,
서울특별시,1114076,1144065500,1144011800,
서울특별시,1114066,1144066000,1144011000,
서울특별시,1114066,1144066000,1144012000,
서울특별시,1114066,1144066000,1144012100,
서울특별시,1114068,1144068000,1144012200,
서울특별시,1114069,1144069000,1144012300,
서울특별시,1114070,1144070000,1144012300,
서울특별시,1114071,1144071000,1144012400,
서울특별시,1114072,1144072000,1144012500,
서울특별시,1114073,1144073000,1144012500,
서울특별시,1114073,1144073000,1144012600,
서울특별시,1114074,1144074000,1144012700,
서울특별시,11150,1147000000,1147000000,
서울특별시,1115051,1147051000,1147010200,
서울특별시,1115052,1147052000,1147010200,
서울특별시,1115053,1147053000,1147010200,
서울특별시,1115054,1147054000,1147010200,
서울특별시,1115071,1147055000,1147010200,
서울특별시,1115057,1147056000,1147010300,
서울특별시,1115058,1147057000,1147010300,
서울특별시,1115059,1147058000,1147010300,
서울특별시,1115060,1147059000,1147010300,
서울특별시,1115061,1147060000,1147010300,
서울특별시,1115062,1147061000,1147010300,
서울특별시,1115063,1147061100,1147010300,
서울특별시,1115064,1147062000,1147010100,
서울특별시,1115065,1147063000,1147010100,
서울특별시,1115066,1147064000,1147010100,
서울특별시,1115072,1147065000,1147010100,
서울특별시,1115069,1147067000,1147010100,
서울특별시,1115070,1147068000,1147010100,
서울특별시,11160,1150000000,1150000000,
서울특별시,1116051,1150051000,1150010100,
서울특별시,1116051,1150051000,1150010400,
서울특별시,1116052,1150052000,1150010200,
서울특별시,1116053,1150053000,1150010200,
서울특별시,1116054,1150053500,1150010200,
서울특별시,1116073,1150054000,1150010300,
서울특별시,1116057,1150055000,1150010300,
서울특별시,1116058,1150056000,1150010300,
서울특별시,1116059,1150057000,1150010300,
서울특별시,1116055,1150059000,1150010300,
서울특별시,1116061,1150059100,1150010300,
서울특별시,1116063,1150059300,1150010300,
서울특별시,1116064,1150060300,1150010400,
서울특별시,1116064,1150060300,1150010500,
서울특별시,1116065,1150060400,1150010400,
서울특별시,1116066,1150060500,1150010400,
서울특별시,1116067,1150061100,1150010500,
서울특별시,1116067,1150061100,1150010600,
서울특별시,1116067,1150061100,1150010700,
서울특별시,1116074,1150061500,1150010300,
서울특별시,1116074,1150061500,1150010600,
서울특별시,1116069,1150062000,1150010500,
서울특별시,1116069,1150062000,1150010800,
서울특별시,1116069,1150062000,1150010900,
서울특별시,1116069,1150062000,1150011100,
서울특별시,1116069,1150062000,1150011200,
서울특별시,1116069,1150062000,1150011300,
서울특별시,1116070,1150063000,1150010500,
서울특별시,1116070,1150063000,1150010800,
서울특별시,1116070,1150063000,1150010900,
서울특별시,1116071,1150064000,1150010900,
서울특별시,1116071,1150064000,1150011000,
서울특별시,1116072,1150064100,1150010900,
서울특별시,11170,1153000000,1153000000,
서울특별시,1117051,1153051000,1153010100,
서울특별시,1117052,1153052000,1153010200,
서울특별시,1117071,1153053000,1153010200,
서울특별시,1117054,1153054000,1153010200,
서울특별시,1117055,1153055000,1153010200,
서울특별시,1117056,1153056000,1153010200,
서울특별시,1117070,1153059500,1153010300,
서울특별시,1117061,1153072000,1153010600,
서울특별시,1117062,1153073000,1153010600,
서울특별시,1117072,1153074000,1153010700,
서울특별시,1117064,1153075000,1153010700,
서울특별시,1117065,1153076000,1153010700,
서울특별시,1117067,1153077000,1153010800,
서울특별시,1117073,1153078000,1153010800,
서울특별시,1117073,1153078000,1153011100,
서울특별시,1117069,1153079000,1153010900,
